datetime,grid_id,estimated_traffic
2008-02-02 13:30:00,10_10,65
2008-02-02 13:30:00,10_2,130
2008-02-02 13:30:00,10_3,325
2008-02-02 13:30:00,10_4,130
2008-02-02 13:30:00,10_5,65
2008-02-02 13:30:00,10_6,130
2008-02-02 13:30:00,10_7,65
2008-02-02 13:30:00,10_8,65
2008-02-02 13:30:00,10_9,260
2008-02-02 13:30:00,11_10,65
2008-02-02 13:30:00,11_3,130
2008-02-02 13:30:00,11_7,390
2008-02-02 13:30:00,11_9,130
2008-02-02 13:30:00,12_7,780
2008-02-02 13:30:00,12_8,260
2008-02-02 13:30:00,12_9,65
2008-02-02 13:30:00,13_7,2080
2008-02-02 13:30:00,13_8,65
2008-02-02 13:30:00,1_10,325
2008-02-02 13:30:00,1_2,520
2008-02-02 13:30:00,1_3,325
2008-02-02 13:30:00,1_9,65
2008-02-02 13:30:00,2_2,325
2008-02-02 13:30:00,2_3,585
2008-02-02 13:30:00,2_4,195
2008-02-02 13:30:00,2_5,845
2008-02-02 13:30:00,2_9,195
2008-02-02 13:30:00,3_2,195
2008-02-02 13:30:00,3_3,910
2008-02-02 13:30:00,3_4,975
2008-02-02 13:30:00,3_5,2405
2008-02-02 13:30:00,3_6,650
2008-02-02 13:30:00,3_7,65
2008-02-02 13:30:00,3_8,65
2008-02-02 13:30:00,4_2,65
2008-02-02 13:30:00,4_3,520
2008-02-02 13:30:00,4_4,14950
2008-02-02 13:30:00,4_5,25415
2008-02-02 13:30:00,4_6,4095
2008-02-02 13:30:00,4_7,1105
2008-02-02 13:30:00,4_8,390
2008-02-02 13:30:00,5_1,195
2008-02-02 13:30:00,5_2,910
2008-02-02 13:30:00,5_3,3835
2008-02-02 13:30:00,5_4,73905
2008-02-02 13:30:00,5_5,132600
2008-02-02 13:30:00,5_6,12350
2008-02-02 13:30:00,5_7,520
2008-02-02 13:30:00,5_8,195
2008-02-02 13:30:00,5_9,195
2008-02-02 13:30:00,6_1,195
2008-02-02 13:30:00,6_2,650
2008-02-02 13:30:00,6_3,2990
2008-02-02 13:30:00,6_4,56485
2008-02-02 13:30:00,6_5,137475
2008-02-02 13:30:00,6_6,11830
2008-02-02 13:30:00,6_7,1235
2008-02-02 13:30:00,6_8,130
2008-02-02 13:30:00,7_2,520
2008-02-02 13:30:00,7_3,1820
2008-02-02 13:30:00,7_4,3315
2008-02-02 13:30:00,7_5,9880
2008-02-02 13:30:00,7_6,27235
2008-02-02 13:30:00,7_7,1300
2008-02-02 13:30:00,7_8,65
2008-02-02 13:30:00,8_2,390
2008-02-02 13:30:00,8_3,585
2008-02-02 13:30:00,8_4,1690
2008-02-02 13:30:00,8_5,2405
2008-02-02 13:30:00,8_6,260
2008-02-02 13:30:00,8_7,1105
2008-02-02 13:30:00,8_8,390
2008-02-02 13:30:00,8_9,260
2008-02-02 13:30:00,9_2,260
2008-02-02 13:30:00,9_3,195
2008-02-02 13:30:00,9_4,260
2008-02-02 13:30:00,9_5,325
2008-02-02 13:30:00,9_6,260
2008-02-02 13:30:00,9_7,325
2008-02-02 13:30:00,9_8,130
2008-02-02 13:30:00,9_9,130
2008-02-02 13:30:00,11_6,0
2008-02-02 13:30:00,11_8,0
2008-02-02 13:30:00,12_6,0
2008-02-02 13:30:00,13_6,0
2008-02-02 13:30:00,1_1,0
2008-02-02 13:30:00,2_1,0
2008-02-02 13:30:00,2_7,0
2008-02-02 13:30:00,11_4,0
2008-02-02 13:30:00,2_10,0
2008-02-02 13:30:00,9_10,0
2008-02-02 13:30:00,13_9,0
2008-02-02 13:30:00,7_9,0
2008-02-02 13:30:00,12_10,0
2008-02-02 13:30:00,13_10,0
2008-02-02 13:30:00,3_1,0
2008-02-02 13:30:00,4_1,0
2008-02-02 13:30:00,1_4,0
2008-02-02 13:30:00,3_9,0
2008-02-02 13:30:00,2_6,0
2008-02-02 13:45:00,10_10,0
2008-02-02 13:45:00,10_2,130
2008-02-02 13:45:00,10_3,260
2008-02-02 13:45:00,10_4,130
2008-02-02 13:45:00,10_5,65
2008-02-02 13:45:00,10_6,130
2008-02-02 13:45:00,10_7,195
2008-02-02 13:45:00,10_8,130
2008-02-02 13:45:00,10_9,455
2008-02-02 13:45:00,11_10,0
2008-02-02 13:45:00,11_3,65
2008-02-02 13:45:00,11_7,455
2008-02-02 13:45:00,11_9,0
2008-02-02 13:45:00,12_7,780
2008-02-02 13:45:00,12_8,390
2008-02-02 13:45:00,12_9,65
2008-02-02 13:45:00,13_7,2080
2008-02-02 13:45:00,13_8,65
2008-02-02 13:45:00,1_10,325
2008-02-02 13:45:00,1_2,910
2008-02-02 13:45:00,1_3,325
2008-02-02 13:45:00,1_9,0
2008-02-02 13:45:00,2_2,325
2008-02-02 13:45:00,2_3,455
2008-02-02 13:45:00,2_4,195
2008-02-02 13:45:00,2_5,715
2008-02-02 13:45:00,2_9,130
2008-02-02 13:45:00,3_2,260
2008-02-02 13:45:00,3_3,975
2008-02-02 13:45:00,3_4,845
2008-02-02 13:45:00,3_5,2340
2008-02-02 13:45:00,3_6,715
2008-02-02 13:45:00,3_7,65
2008-02-02 13:45:00,3_8,130
2008-02-02 13:45:00,4_2,65
2008-02-02 13:45:00,4_3,780
2008-02-02 13:45:00,4_4,17615
2008-02-02 13:45:00,4_5,29380
2008-02-02 13:45:00,4_6,4875
2008-02-02 13:45:00,4_7,1040
2008-02-02 13:45:00,4_8,390
2008-02-02 13:45:00,5_1,195
2008-02-02 13:45:00,5_2,975
2008-02-02 13:45:00,5_3,4420
2008-02-02 13:45:00,5_4,82225
2008-02-02 13:45:00,5_5,149955
2008-02-02 13:45:00,5_6,13975
2008-02-02 13:45:00,5_7,585
2008-02-02 13:45:00,5_8,130
2008-02-02 13:45:00,5_9,325
2008-02-02 13:45:00,6_1,65
2008-02-02 13:45:00,6_2,845
2008-02-02 13:45:00,6_3,3380
2008-02-02 13:45:00,6_4,64090
2008-02-02 13:45:00,6_5,153985
2008-02-02 13:45:00,6_6,15470
2008-02-02 13:45:00,6_7,1430
2008-02-02 13:45:00,6_8,65
2008-02-02 13:45:00,7_2,390
2008-02-02 13:45:00,7_3,1950
2008-02-02 13:45:00,7_4,3965
2008-02-02 13:45:00,7_5,11635
2008-02-02 13:45:00,7_6,29900
2008-02-02 13:45:00,7_7,910
2008-02-02 13:45:00,7_8,130
2008-02-02 13:45:00,8_2,520
2008-02-02 13:45:00,8_3,650
2008-02-02 13:45:00,8_4,2015
2008-02-02 13:45:00,8_5,2925
2008-02-02 13:45:00,8_6,325
2008-02-02 13:45:00,8_7,1950
2008-02-02 13:45:00,8_8,455
2008-02-02 13:45:00,8_9,260
2008-02-02 13:45:00,9_2,195
2008-02-02 13:45:00,9_3,130
2008-02-02 13:45:00,9_4,325
2008-02-02 13:45:00,9_5,325
2008-02-02 13:45:00,9_6,260
2008-02-02 13:45:00,9_7,455
2008-02-02 13:45:00,9_8,260
2008-02-02 13:45:00,9_9,130
2008-02-02 13:45:00,11_6,65
2008-02-02 13:45:00,11_8,65
2008-02-02 13:45:00,12_6,65
2008-02-02 13:45:00,13_6,65
2008-02-02 13:45:00,1_1,65
2008-02-02 13:45:00,2_1,130
2008-02-02 13:45:00,2_7,65
2008-02-02 13:45:00,11_4,0
2008-02-02 13:45:00,2_10,0
2008-02-02 13:45:00,9_10,0
2008-02-02 13:45:00,13_9,0
2008-02-02 13:45:00,7_9,0
2008-02-02 13:45:00,12_10,0
2008-02-02 13:45:00,13_10,0
2008-02-02 13:45:00,3_1,0
2008-02-02 13:45:00,4_1,0
2008-02-02 13:45:00,1_4,0
2008-02-02 13:45:00,3_9,0
2008-02-02 13:45:00,2_6,0
2008-02-02 14:00:00,10_10,0
2008-02-02 14:00:00,10_2,130
2008-02-02 14:00:00,10_3,195
2008-02-02 14:00:00,10_4,195
2008-02-02 14:00:00,10_5,65
2008-02-02 14:00:00,10_6,65
2008-02-02 14:00:00,10_7,455
